ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2020,2021-01-08,12:00,28,Estádio Antonio Accioly,Savio Pereira Sampaio,0,13000,Atlético-GO,Vasco da Gama,Marcelo Cabo,Vanderlei Luxemburgo,12,16,7100000,22000000,26.8,28.5,0,0,0,0,3,4,19,17,16,19,6,2,2,2,8,15,4,6
2020,2021-01-18,10:00,28,Allianz Parque,Jean Pierre Goncalves Lima,0,43600,Palmeiras,Corinthians,Abel Ferreira,Vágner Mancini,5,9,33900000,32200000,27.1,29.8,4,0,2,0,7,7,14,11,11,14,4,4,3,0,15,10,5,3
2020,2021-01-27,12:00,28,Estádio Governador Magalhães Pinto,Paulo Roberto Alves Júnior,0,57000,Atlético-MG,Santos FC,Jorge Sampaoli,Cuca,3,8,30300000,7300000,27.7,24.1,2,0,2,0,4,2,10,14,13,10,3,3,1,0,10,5,1,2
2020,2021-01-09,10:00,29,Estádio Adelmar da Costa Carvalho,Dyorgines Jose Padovani,0,35000,Sport Recife,Palmeiras,Jair Ventura,Abel Ferreira,14,5,7800000,45050000,28.5,26.6,0,1,0,1,7,6,15,21,20,13,3,5,2,2,11,12,4,6
2020,2021-01-09,10:00,29,Estádio Major Antônio Couto Pereira,Ricardo Marques Ribeiro,0,37182,Coritiba FC,Athletico-PR,Pachequinho,Paulo Autuori,20,10,7800000,23300000,28.0,27.2,0,0,0,0,3,2,11,10,9,10,1,2,0,0,13,3,8,1
2020,2021-01-10,12:00,29,Estádio Governador Plácido Castelo,Jefferson Ferreira Moraes,0,60326,Fortaleza,Grêmio,Enderson Moreira,Renato Gaúcho,15,6,7000000,42850000,30.6,29.1,0,0,0,0,4,5,17,12,11,16,2,5,3,1,14,11,4,4
2020,2021-01-10,07:00,29,Estádio Jornalista Mário Filho,Paulo Roberto Alves Júnior,0,78838,Flamengo,Ceará SC,Rogério Ceni,Guto Ferreira,3,11,69050000,7000000,28.7,28.7,0,2,0,1,6,1,10,12,11,9,2,5,3,0,21,8,12,1
2020,2021-01-10,07:00,29,Estádio Cícero Pompeu de Toledo,Braulio da Silva Machado,0,67428,São Paulo,Santos FC,Fernando Diniz,Cuca,1,8,29100000,7700000,27.6,24.1,0,1,0,0,8,3,19,21,21,18,1,5,0,0,26,7,14,1
2020,2021-01-10,09:15,29,Estádio Beira-Rio,Edina Alves Batista,0,56000,Internacional,Goiás EC,Abel Braga,Glauber Ramos,4,18,23700000,6850000,27.5,27.7,1,0,1,0,6,2,14,14,14,14,4,2,2,1,10,14,5,5
2020,2021-01-10,09:15,29,Estádio Antonio Accioly,Anderson Daronco,0,13000,Atlético-GO,EC Bahia,Marcelo Cabo,Dado Cavalcanti,12,17,6400000,6730000,26.3,26.0,1,1,1,0,6,6,20,18,15,20,3,4,3,1,13,16,5,4
2020,2021-01-10,11:30,29,Estádio São Januário,Raphael Claus,0,24584,Vasco da Gama,Botafogo,Vanderlei Luxemburgo,Eduardo Barroca,16,19,22100000,7500000,27.3,24.8,3,0,1,0,6,3,11,13,13,9,4,3,0,4,18,12,4,5
2020,2021-01-11,11:00,29,Estádio Nabi Abi Chedid,Caio Max Augusto Vieira,0,13212,RB Bragantino,Atlético-MG,Maurício Barbieri,Jorge Sampaoli,13,2,14500000,30300000,25.4,27.4,2,2,1,0,6,6,15,11,10,14,4,2,0,1,11,19,2,7
2020,2021-01-14,12:30,29,Neo Química Arena,Rafael Traci,0,49205,Corinthians,Fluminense,Vágner Mancini,Marcão,9,7,32200000,10050000,29.8,28.5,5,0,1,0,3,3,17,15,13,16,2,3,1,3,19,13,4,5
2020,2021-01-16,01:30,30,Allianz Parque,Bruno Arleu de Araújo,0,43600,Palmeiras,Grêmio,Abel Ferreira,Renato Gaúcho,5,6,25100000,55350000,27.9,28.2,1,1,1,0,3,7,22,10,8,21,6,5,2,0,16,12,8,3
2020,2021-01-16,11:00,30,Estádio Olímpico Nilton Santos,Héber Lopes,0,46000,Fluminense,Sport Recife,Marcão,Jair Ventura,7,15,10550000,6900000,26.9,27.4,1,0,0,0,5,4,23,18,17,23,0,1,2,1,11,10,8,7
2020,2021-01-17,01:00,30,Estádio São Januário,Flavio Rodrigues de Souza,0,24584,Vasco da Gama,Coritiba FC,Vanderlei Luxemburgo,Gustavo Morínigo,14,20,22000000,6450000,28.5,24.8,0,1,0,1,10,2,10,13,12,8,3,3,1,0,10,13,4,4
2020,2021-01-17,08:00,30,Estádio Urbano Caldeira,Leandro Pedro Vuaden,0,20120,Santos FC,Botafogo,Cuca,Eduardo Barroca,8,19,31600000,8250000,25.7,24.7,2,1,1,1,15,6,8,24,23,8,2,3,2,3,23,6,11,2
2020,2021-01-17,08:00,30,Arena da Baixada,Wilton Sampaio,0,42372,Athletico-PR,São Paulo,Paulo Autuori,Fernando Diniz,11,1,20600000,29800000,27.1,28.1,1,1,1,0,1,3,10,14,14,10,1,2,0,8,8,9,2,4
2020,2021-01-17,10:15,30,Estádio Governador Magalhães Pinto,Braulio da Silva Machado,0,57000,Atlético-MG,Atlético-GO,Jorge Sampaoli,Marcelo Cabo,2,12,29800000,6850000,27.8,26.1,3,1,2,0,10,9,13,14,13,13,2,3,0,2,22,13,10,5
2020,2021-01-18,12:30,30,Estádio Beira-Rio,Rodrigo D,0,56000,Internacional,Fortaleza,Abel Braga,Enderson Moreira,3,16,23700000,7700000,26.2,31.2,4,2,2,1,6,1,24,17,16,22,0,1,0,1,11,10,4,4
2020,2021-01-18,12:30,30,Estádio Governador Plácido Castelo,Marcelo de Lima Henrique,0,60326,Ceará SC,RB Bragantino,Guto Ferreira,Maurício Barbieri,10,13,7350000,19850000,28.4,26.4,1,2,0,0,6,9,13,16,15,12,5,2,1,0,12,15,7,4
2020,2021-01-19,12:00,30,Estádio Serra Dourada,Rodolpho Toski Marques,0,12500,Goiás EC,Flamengo,Glauber Ramos,Rogério Ceni,18,4,6850000,65050000,27.7,29.3,0,3,0,1,4,5,24,13,13,23,3,3,1,3,9,12,3,4
2020,2021-01-28,11:00,30,Arena Fonte Nova,Ricardo Marques Ribeiro,0,55000,EC Bahia,Corinthians,Dado Cavalcanti,Vágner Mancini,17,9,6900000,31500000,28.3,28.7,2,1,2,0,3,10,24,19,18,24,4,5,0,1,8,15,1,5
2020,2021-01-20,09:00,31,Estádio Olímpico Nilton Santos,Ramon Abatti,0,46931,Botafogo,Atlético-GO,Eduardo Barroca,Marcelo Cabo,20,13,8200000,8600000,23.7,25.2,1,3,0,0,3,6,18,14,14,17,2,4,1,1,17,14,7,4
